　　　　　　　　电影名称　　　　　　　　	    评分    	   评论人数   	短评　　　　　　　　
　　　　　指环王2：双塔奇兵　　　　　　	   9.0    	  297437  	承前启后的史诗篇章。
　　　　　指环王1：魔戒再现　　　　　　	   8.9    	  332895  	传说的开始。　　　　
　　　　　　　　　情书　　　　　　　　　	   8.8    	  413415  	暗恋的极致。　　　　
　　　　　　　　饮食男女　　　　　　　　	   9.1    	  224987  	人生不能像做菜，把所有的料都准备好了才下锅。
　　　　　　　摔跤吧！爸爸　　　　　　　	   9.1    	  521959  	你不是在为你一个人战斗，你要让千千万万的女性看到女生并不是只能相夫教子。
　　　　　　　　美国往事　　　　　　　　	   9.1    	  192507  	往事如烟，无处祭奠。
　　　　　　　　狮子王　　　　　　　　　	   8.9    	  310593  	动物版《哈姆雷特》。
　　　　　　　　钢琴家　　　　　　　　　	   9.0    	  221367  	音乐能化解仇恨。　　
　　　　　　　天使爱美丽　　　　　　　　	   8.7    	  522126  	法式小清新。 　　　
　　　　　　　　　素媛　　　　　　　　　	   9.1    	  207106  	受过伤害的人总是笑得最开心，因为他们不愿意让身边的人承受一样的痛苦。
　　　　　　　　七宗罪　　　　　　　　　	   8.7    	  470672  	警察抓小偷，老鼠玩死猫。
　　　　　　　　小鞋子　　　　　　　　　	   9.2    	  154545  	奔跑的孩子是天使。　
　　　　　被嫌弃的松子的一生　　　　　　	   8.9    	  322392  	以戏谑来戏谑戏谑。　
　　　　　　　　致命魔术　　　　　　　　	   8.8    	  377567  	孪生蝙蝠侠大战克隆金刚狼。
　　　　　　　看不见的客人　　　　　　　	   8.8    	  382734  	你以为你以为的就是你以为的。
　　　　　　　　音乐之声　　　　　　　　	   8.9    	  252207  	用音乐化解仇恨，让歌声串起美好。
　　　　　　　　勇敢的心　　　　　　　　	   8.8    	  316207  	史诗大片的典范。　　
　　　　　　本杰明·巴顿奇事　　　　　　	   8.8    	  427828  	在时间之河里感受溺水之苦。
　　　　　　　剪刀手爱德华　　　　　　　	   8.7    	  525616  	浪漫忧郁的成人童话。
　　　　　　　　低俗小说　　　　　　　　	   8.8    	  366730  	故事的高级讲法。　　
　　　　　　西西里的美丽传说　　　　　　	   8.7    	  387679  	美丽无罪。　　　　　
　　　　　　　　黑客帝国　　　　　　　　	   8.8    	  308730  	视觉革命。　　　　　
　　　　　　　拯救大兵瑞恩　　　　　　　	   8.9    	  263701  	美利坚精神输出大片No1.
　　　　　　　沉默的羔羊　　　　　　　　	   8.7    	  385271  	安东尼·霍普金斯的顶级表演。
　　　　　　　　入殓师　　　　　　　　　	   8.8    	  339555  	死可能是一道门，逝去并不是终结，而是超越，走向下一程。
　　　　　　　　蝴蝶效应　　　　　　　　	   8.7    	  416084  	人的命运被自己瞬间的抉择改变。
　　　　　　　　让子弹飞　　　　　　　　	   8.7    	  680460  	你给我翻译翻译，神马叫做TMD的惊喜。
　　　　　　　　春光乍泄　　　　　　　　	   8.8    	  271791  	爱情纠缠，男女一致。
　　　　　　　玛丽和马克思　　　　　　　	   8.9    	  245351  	你是我最好的朋友，你是我唯一的朋友 。
　　　　　　　　大闹天宫　　　　　　　　	   9.2    	  112414  	经典之作，历久弥新。
　　　　　　　　心灵捕手　　　　　　　　	   8.8    	  296920  	人生中应该拥有这样的一段豁然开朗。
　　　　　　　　末代皇帝　　　　　　　　	   8.9    	  191196  	“不要跟我比惨，我比你更惨”再适合这部电影不过了。
　　　　　　阳光灿烂的日子　　　　　　　	   8.8    	  293927  	一场华丽的意淫。　　
　　　　　　　　幽灵公主　　　　　　　　	   8.8    	  255444  	人与自然的战争史诗。
　　　　　　　　第六感　　　　　　　　　	   8.8    	  253917  	深入内心的恐怖，出人意料的结局。
　　　　　　　　重庆森林　　　　　　　　	   8.7    	  361110  	寂寞没有期限。　　　
　　　　　　布达佩斯大饭店　　　　　　　	   8.8    	  348615  	小清新的故事里注入了大历史的情怀。
　　　　　　　　禁闭岛　　　　　　　　　	   8.7    	  391653  	昔日翩翩少年，今日大腹便便。
　　　　　哈利·波特与魔法石　　　　　　	   8.7    	  286565  	童话世界的开端。　　
　　　　　　　　　大鱼　　　　　　　　　	   8.7    	  272751  	抱着梦想而活着的人是幸福的，怀抱梦想而死去的人是不朽的。
　　　　　　　　　狩猎　　　　　　　　　	   9.0    	  143426  	人言可畏。　　　　　
　　　　　　　　致命ID　　　　　　　　	   8.6    	  345900  	最不可能的那个人永远是最可能的。
　　　　　射雕英雄传之东成西就　　　　　	   8.7    	  298092  	百看不厌。 　　　　
　　　　　　　　甜蜜蜜　　　　　　　　　	   8.8    	  249309  	相逢只要一瞬间，等待却像是一辈子。
　　　　　　　　猫鼠游戏　　　　　　　　	   8.7    	  253429  	骗子大师和执著警探的你追我跑故事。 
　　　　　　　　断背山　　　　　　　　　	   8.7    	  346022  	每个人心中都有一座断背山。
　　　　　　　　　一一　　　　　　　　　	   8.9    	  167674  	我们都曾经是一一。　
　　　　　　　　　告白　　　　　　　　　	   8.7    	  369263  	没有一人完全善，也没有一人完全恶。
　　　　　　　阳光姐妹淘　　　　　　　　	   8.8    	  290556  	再多各自牛逼的时光，也比不上一起傻逼的岁月。 
　　　　　　　加勒比海盗　　　　　　　　	   8.6    	  374724  	约翰尼·德普的独角戏。
　　　　　　　　上帝之城　　　　　　　　	   8.9    	  167396  	被上帝抛弃了的上帝之城。
　　　　　　　　摩登时代　　　　　　　　	   9.2    	  98188   	大时代中的人生，小人物的悲喜。
　　　　　　穿条纹睡衣的男孩　　　　　　	   8.9    	  163295  	尽管有些不切实际的幻想，这部电影依旧是一部感人肺腑的佳作。
　　　　　　　　阿凡达　　　　　　　　　	   8.6    	  567806  	绝对意义上的美轮美奂。
　　　　　　爱在黎明破晓前　　　　　　　	   8.7    	  238963  	缘分是个连绵词，最美不过一瞬。
　　　　　　　消失的爱人　　　　　　　　	   8.7    	  387177  	年度最佳date movie。
　　　　　　　　风之谷　　　　　　　　　	   8.8    	  189467  	动画片的圣经。　　　
